City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Katsina,NG,2022-08-06 19:10:48,12.9894,7.6006,87.82,46,95,8.55
125,Puerto Salgar,CO,2022-08-06 19:10:48,5.463,-74.6544,82.65,71,99,2.53
126,Teguldet,RU,2022-08-06 19:10:49,57.3064,88.1667,53.92,95,91,2.44
127,Touros,BR,2022-08-06 19:10:49,-5.1989,-35.4608,80.13,74,68,16.13
128,Minab,IR,2022-08-06 19:10:50,27.1467,57.0801,90.9,66,0,3.83
129,Cayenne,GF,2022-08-06 19:10:50,4.9333,-52.3333,89.64,13,100,13.8
130,Padang,ID,2022-08-06 19:08:07,-0.9492,100.3543,76.69,85,83,4.07
131,Mogadishu,SO,2022-08-06 19:10:51,2.0371,45.3438,75.9,81,22,19.15
132,Richards Bay,ZA,2022-08-06 19:10:51,-28.783,32.0377,67.69,86,100,2.95
133,Mollendo,PE,2022-08-06 19:10:52,-17.0231,-72.0147,64.31,75,68,12.3
134,Enshi,CN,2022-08-06 19:10:52,30.3,109.4833,75.04,92,4,1.32
135,Tshikapa,CD,2022-08-06 19:10:52,-6.4167,20.8,83.98,24,80,3.58
136,Nanortalik,GL,2022-08-06 19:11:53,60.1432,-45.2371,45.19,91,100,5.61
137,Okhotsk,RU,2022-08-06 19:11:53,59.3833,143.3,56.03,92,99,14.34
138,Puerto Ayora,EC,2022-08-06 19:09:06,-0.7393,-90.3518,80.56,87,91,8.99
139,Coahuayana,MX,2022-08-06 19:11:54,18.7333,-103.6833,88.74,62,100,8.05
140,Half Moon Bay,US,2022-08-06 19:11:54,37.4636,-122.4286,81.05,71,100,13.8
141,Fortuna,US,2022-08-06 19:11:34,40.5982,-124.1573,69.93,77,75,9.22
142,Kavaratti,IN,2022-08-06 19:11:55,10.5669,72.642,80.65,85,100,21.54
143,Boueni,YT,2022-08-06 19:11:55,-12.9025,45.0761,73.38,55,1,5.84
144,Talnakh,RU,2022-08-06 19:11:55,69.4865,88.3972,54.21,97,99,7.14
145,Gerede,TR,2022-08-06 19:11:56,40.8008,32.1969,60.21,93,100,3.22
146,Shingu,JP,2022-08-06 19:11:56,33.7333,135.9833,76.64,92,35,3.91
147,Ahipara,NZ,2022-08-06 19:11:56,-35.1667,173.1667,60.04,93,100,13.0
148,Mizdah,LY,2022-08-06 19:11:57,31.4451,12.9801,84.78,23,0,14.12
149,Isangel,VU,2022-08-06 19:11:57,-19.55,169.2667,73.92,85,0,8.1
150,Kaitangata,NZ,2022-08-06 19:11:58,-46.2817,169.8464,40.24,97,100,11.41
151,Aginskoye,RU,2022-08-06 19:11:58,51.1,114.53,50.25,68,0,15.32
152,Fuerte Olimpo,PY,2022-08-06 19:11:58,-21.0415,-57.8738,87.78,35,100,5.57
153,Sioux Lookout,CA,2022-08-06 19:11:59,50.1001,-91.917,64.62,45,24,12.15
154,Ostrovnoy,RU,2022-08-06 19:11:59,68.0531,39.5131,70.27,66,100,21.14
155,Salalah,OM,2022-08-06 19:12:00,17.0151,54.0924,77.09,94,100,4.61
156,Mar Del Plata,AR,2022-08-06 19:07:59,-38.0023,-57.5575,52.09,79,100,6.91
157,Lompoc,US,2022-08-06 19:12:00,34.6391,-120.4579,75.34,74,100,18.41
158,Yuzhno-Kurilsk,RU,2022-08-06 19:12:00,44.0306,145.8556,59.25,94,100,9.24
159,Nuevo Progreso,MX,2022-08-06 19:12:01,23.1667,-97.95,86.9,54,44,5.01
160,Bekovo,RU,2022-08-06 19:12:01,52.4663,43.712,73.51,43,92,6.85
161,Thompson,CA,2022-08-06 19:08:47,55.7435,-97.8558,67.77,31,31,8.61
162,Dikson,RU,2022-08-06 19:12:02,73.5069,80.5464,41.63,99,77,10.09
163,Aviles,ES,2022-08-06 19:12:02,43.5547,-5.9248,73.38,81,75,13.0
164,Kargasok,RU,2022-08-06 19:12:03,59.0556,80.8572,59.74,88,100,4.92
165,Carnarvon,AU,2022-08-06 19:12:03,-24.8667,113.6333,62.87,62,0,14.0
166,Fuxin,CN,2022-08-06 19:12:04,42.0156,121.6589,77.85,95,100,4.43
167,Castro,BR,2022-08-06 19:12:04,-24.7911,-50.0119,66.54,63,100,5.88
168,Sur,OM,2022-08-06 19:12:05,22.5667,59.5289,88.12,62,9,9.86
169,Terrace,CA,2022-08-06 19:12:05,54.5163,-128.6035,71.82,60,100,3.06
170,Luba,GQ,2022-08-06 19:12:05,3.4568,8.5547,75.52,92,90,6.22
171,Muisne,EC,2022-08-06 19:12:06,0.6,-80.0333,76.71,80,100,10.78
172,Turukhansk,RU,2022-08-06 19:12:06,65.8167,87.9833,58.87,70,100,5.06
173,Elko,US,2022-08-06 19:12:07,41.0002,-115.5012,71.22,73,96,7.0
174,Nome,US,2022-08-06 19:08:56,64.5011,-165.4064,47.16,61,20,4.61
175,Cabo San Lucas,MX,2022-08-06 19:09:27,22.8909,-109.9124,89.91,63,75,16.11
176,Hofn,IS,2022-08-06 19:12:08,64.2539,-15.2082,52.9,94,94,3.69
