City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Lazurne,UA,86.36,clear sky,46.083999999999996,32.5295,New Manna Hostel
450,Imola,IT,89.73,broken clouds,44.3523,11.7158,Hotel Olimpia
452,Porto Walter,BR,82.63,few clouds,-8.2686,-72.7439,Hotel Silva
454,Besuki,ID,78.39,overcast clouds,-7.7338,113.6979,Pak Pri House
455,Axim,GH,78.21,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
456,Guilin,CN,84.31,clear sky,25.2819,110.2864,Grand 0773 Hotel
457,Varca,IN,78.78,light rain,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa Benaulim"
462,Halifax,CA,78.69,overcast clouds,44.6453,-63.5724,Hotel Halifax
466,Kembe,CF,77.4,light rain,4.6228,21.8865,
469,Jacqueville,CI,76.51,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
471,Dumai,ID,76.26,few clouds,1.6833,101.45,Grand Zuri Dumai
472,Conneaut,US,83.08,overcast clouds,41.9476,-80.5542,OYO Hotel Conneaut OH I-90
473,Hersbruck,DE,84.74,clear sky,49.5125,11.4339,Hotel Zum Alten Schloß
478,Marshall,US,89.38,scattered clouds,34.3834,-86.3333,Riverview Campground
479,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
480,Diu,IN,81.46,broken clouds,20.7141,70.9822,Hotel Relax Inn
486,Kamina,CD,80.42,scattered clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
489,Petatlan,MX,80.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
497,Yendi,GH,86.16,overcast clouds,9.4427,-0.0099,Eyarro Lodge
498,Ofaqim,IL,82.71,clear sky,31.3141,34.6203,The Negev Experience
499,Murgab,TM,85.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
501,Kisanga,TZ,78.87,overcast clouds,-7.4362,37.7034,
