City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Komsomolskiy,UZ,2022-08-08 16:18:57,40.4272,71.7189,88.52,22,77,9.22,broken clouds
148,Veshkayma,RU,2022-08-08 16:18:58,54.05,47.1333,72.72,57,93,2.17,overcast clouds
149,Tuktoyaktuk,CA,2022-08-08 16:18:58,69.4541,-133.0374,55.4,76,75,16.11,broken clouds
150,San Patricio,US,2022-08-08 16:18:58,28.017,-97.5169,91.27,50,43,10.25,scattered clouds
151,Ribeira Grande,PT,2022-08-08 16:18:59,38.5167,-28.7,75.6,83,40,11.5,scattered clouds
152,Coquimbo,CL,2022-08-08 16:18:59,-29.9533,-71.3436,60.53,58,0,9.22,clear sky
153,Otjiwarongo,NA,2022-08-08 16:18:59,-20.4637,16.6477,80.15,11,3,2.71,clear sky
154,Eydhafushi,MV,2022-08-08 16:18:59,5.1033,73.0708,81.25,84,100,12.46,overcast clouds
155,Ancud,CL,2022-08-08 16:19:00,-41.8697,-73.8203,48.22,70,11,4.56,few clouds
156,Manokwari,ID,2022-08-08 16:19:00,-0.8667,134.0833,77.52,80,83,3.65,broken clouds
157,Rawson,AR,2022-08-08 16:19:01,-43.3002,-65.1023,43.34,85,100,12.71,overcast clouds
158,Pittsfield,US,2022-08-08 16:19:01,42.4501,-73.2454,90.05,65,20,5.75,few clouds
159,Port Elizabeth,ZA,2022-08-08 16:16:40,-33.918,25.5701,63.1,90,0,2.3,clear sky
160,Sembe,CG,2022-08-08 16:19:01,1.6481,14.5806,78.24,77,92,4.29,light rain
161,Lata,PT,2022-08-08 16:19:02,40.1629,-8.3327,83.48,48,0,11.34,clear sky
162,Wewak,PG,2022-08-08 16:19:02,-3.5534,143.6268,79.65,85,95,10.04,overcast clouds
163,Eyl,SO,2022-08-08 16:19:03,7.9803,49.8164,77.81,72,100,24.4,overcast clouds
164,San Cristobal,VE,2022-08-08 16:19:03,7.7669,-72.225,86.18,46,12,8.34,few clouds
165,Eghezee,BE,2022-08-08 16:19:03,50.5851,4.9028,78.82,51,10,10.8,clear sky
166,Sao Filipe,CV,2022-08-08 16:19:04,14.8961,-24.4956,79.86,83,94,7.02,light rain
167,Iskateley,RU,2022-08-08 16:19:04,67.6803,53.1512,61.45,53,63,13.56,broken clouds
168,Kimbe,PG,2022-08-08 16:19:05,-5.5502,150.1429,74.3,90,99,4.9,overcast clouds
